Gene ID,NC24h_pi_1,NC24h_pi_2,NC24h_pi_3,X24h_pi_1,X24h_pi_2,X24h_pi_3,NC48h_pi_1,NC48h_pi_2,NC48h_pi_3,X48h_pi_1,X48h_pi_2,X48h_pi_3,NC72h_pi_1,NC72h_pi_2,NC72h_pi_3,X72h_pi_1,X72h_pi_2,X72h_pi_3,NC96h_pi_1,NC96h_pi_2,NC96h_pi_3,X96h_pi_1,X96h_pi_2,X96h_pi_3
c152442_g1,0,1,3,28,23,63,0,1,3,51,89,69,0,1,3,64,35,153,0,1,3,155,45,30
c152493_g1,14,27,16,3,4,5,14,27,16,4,1,5,14,27,16,1,1,3,14,27,16,4,0,22
c152569_g1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,1,1,2
c152618_g1,3,0,6,28,15,24,3,0,6,17,32,35,3,0,6,31,23,14,3,0,6,68,20,13
c152678_g2,0,0,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,3,0,0,0,5,4,0
c152758_g1,4,2,2,0,0,0,4,2,2,1,4,0,4,2,2,0,0,0,4,2,2,0,3,0
c152822_g2,0,3,2,4,13,12,0,3,2,6,6,10,0,3,2,4,6,6,0,3,2,18,9,4
c152877_g1,1,0,1,3,3,6,1,0,1,3,4,5,1,0,1,0,2,0,1,0,1,2,5,2
c152946_g1,0,0,2,0,5,1,0,0,2,1,2,3,0,0,2,2,1,1,0,0,2,2,1,1
c153003_g2,0,0,0,5,3,4,0,0,0,2,5,2,0,0,0,5,1,0,0,0,0,3,1,0
c153050_g1,0,0,0,4,1,1,0,0,0,3,1,6,0,0,0,1,2,22,0,0,0,12,2,4
c153096_g1,0,0,0,8,11,13,0,0,0,13,26,17,0,0,0,6,4,3,0,0,0,15,5,5
c153141_g1,4,3,1,7,6,2,4,3,1,1,2,0,4,3,1,0,3,2,4,3,1,16,5,7
c153189_g1,25,26,31,26,21,31,25,26,31,23,44,51,25,26,31,23,21,15,25,26,31,47,19,17
c153249_g1,0,0,0,2,1,2,0,0,0,0,4,2,0,0,0,1,1,1,0,0,0,4,7,1
c153294_g1,2,0,0,5,5,4,2,0,0,10,18,6,2,0,0,2,6,16,2,0,0,19,11,8
c153340_g1,0,0,0,6,1,2,0,0,0,4,10,4,0,0,0,3,1,1,0,0,0,6,10,3
c153399_g1,0,0,0,3,3,2,0,0,0,5,2,3,0,0,0,3,1,1,0,0,0,6,7,1
c153456_g2,4,6,7,4,4,8,4,6,7,8,9,4,4,6,7,4,6,4,4,6,7,3,3,4
c153508_g6,50,55,42,1,0,0,50,55,42,1,0,1,50,55,42,15,0,1,50,55,42,17,1,1
c153550_g1,0,0,7,0,0,1,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0
